TouristPlace,Latitude,Longitude
Adlabs Imagica,18.768290000000036,73.28261000000003
Andheri Sports Complex,19.12892000000005,72.83629000000008
B.P.T. Ground,19.01747000000006,72.81920000000008
Bandra Kurla Complex Ground,19.06684000000007,72.86193000000003
Brabourne Stadium,18.93258000000003,72.82347000000004
Colaba Woods,18.911520000000053,72.81912000000005
Cooperage Ground,18.92444000000006,72.82958000000008
Cross Maidan,18.939900000000023,72.82985000000008
Dadaji Kondadev Stadium,19.193170000000066,72.98003000000006
DY Patil Stadium,19.041350000000023,73.02708000000007
EsselWorld,19.231350000000077,72.80518000000006
Gilbert Hill,19.120760000000075,72.84151000000003
Gowalia Tank,18.96446000000003,72.81118000000004
Hanging Gardens of Mumbai,18.95610000000005,72.80369000000007
Horniman Circle Gardens,18.931920000000048,72.83568000000008
Jijamata Udyaan,19.12099053414619,72.85618970162598
Jogger's Park,19.112850000000037,72.89662000000004
Joseph Baptista Gardens,18.967390000000023,72.84129000000007
Kamala Nehru Park,18.95514000000003,72.80479000000008
Mahalaxmi Racecourse,18.981620000000078,72.82303000000007
Mahindra Hockey Stadium,18.936740000000043,72.82658000000004
Middle Income Group Club Ground,19.06087182405206,72.89627674199339
Oval Maidan,23.47219000000007,84.26422000000008
Sanjay Gandhi National Park,19.166710000000023,72.92988000000008
Sardar Vallabhbhai Patel Indoor Stadium,18.986170000000072,72.81445000000008
Shivaji Park,19.02875000000006,72.83755000000008
Wankhede Stadium,18.937610000000063,72.82500000000005
Aksa Beach,19.17321000000004,72.79674000000006
Bandra Talao,19.055510000000027,72.83760000000007
Girgaum Chowpatty,18.955800000000067,72.81192000000004
Juhu Beach,19.087290000000053,72.82681000000008
Kalamb Beach,19.403290000000027,72.76178000000004
Marvé Beach,19.196870000000047,72.79865000000007
Modak Sagar,18.93492179156327,72.82649814723874
Powai Lake,19.123800000000074,72.89773000000008
Tulshi Dam,18.974092500000005,72.818163
Tulsi Lake,19.186540000000036,72.91182000000003
Vihar Dam,19.080670000000055,72.84354000000008
Vihar Lake,19.137995920120783,72.89877426390338
Elephanta Caves,18.963270000000023,72.93213000000003
Jogeshwari Caves,19.138140000000078,72.85534000000007
Kanheri Caves,19.23150000000004,72.86375000000004
Mahakali Caves,19.130300000000034,72.87298000000004
Mandapeshwar Caves,19.245040000000074,72.85408000000007
Annapurna Studios,19.104661037191985,72.8533215313636
Bombay Talkies,18.96181000000007,72.82028000000008
 Capitol Cinema,29.39041000000003,79.45498000000003
Coronation Cinema,18.963880000000074,72.84452000000005
Dadasaheb Phalke Chitranagari,19.15954000000005,72.88473000000005
Eros Cinema,18.93237000000005,72.82783000000006
Filmistan,18.958720000000028,72.81810000000007
Kamalistan Studios,18.940170000000023,72.83483000000007
Liberty Cinema,18.94165000000004,72.82738000000006
Maratha Mandir,18.97127000000006,72.82179000000008
Mehboob Studio,19.05224000000004,72.82414000000006
Metro Big Cinemas,18.942920000000072,72.82919000000004
New Empire Cinema,18.93889000000007,72.83439000000004
Plaza cinema,19.02105000000006,72.84214000000003
R. K. Studio,19.046790000000044,72.90721000000008
Rajkamal Kalamandir,19.09835371357262,72.8509886559813
Ramdev Film Ciity,19.13924000000003,72.83357000000007
Ranjit Studios,19.013160000000028,72.84238000000005
Regal Cinema,18.924500000000023,72.83217000000008
Royal Opera House,18.956250000000068,72.81576000000007
Sterling Cineplex,19.01538000000005,72.82987000000003
Wadia Movietone,19.11139200000001,72.8356285269202
Bassein Fort,18.932250000000067,72.83287000000007
Belapur Fort,18.932250000000067,72.83287000000007
Bombay Castle,18.931080000000065,72.83870000000007
Castella de Aguada,15.516670000000033,73.76667000000003
Dongri Fort,18.960210000000075,72.83772000000005
"Fort George, Bombay",18.932250000000067,72.83287000000007
Ghodbunder Fort,18.932250000000067,72.83287000000007
Madh Fort,19.132300000000043,72.79441000000008
Mahim Fort,19.041960000000074,72.83858000000004
Mazagon Fort,18.968360000000075,72.84174000000007
Riwa Fort,19.05007329225576,72.8591860109643
Sewri Fort,18.99636000000004,72.85387000000003
Sion Hillock Fort,18.932250000000067,72.83287000000007
Worli Fort,19.023790000000076,72.81699000000003
Vasai Fort,18.932250000000067,72.83287000000007
Cafe Mondegar,18.924180000000035,72.83208000000008
Four Seasons Hotel Mumbai,18.994000000000028,72.82094000000006
Gokul,19.011360000000025,72.82386000000008
Grand Hyatt Mumbai,19.07671000000005,72.85082000000006
Irani café,18.961020000000076,72.83703000000008
Kohinoor Square,19.024680000000046,72.84082000000006
